datetime,open,close,high,low,volume,money,open_interest
2020-12-10,929.964,984.69,988.234,929.436,1886081.0,181779478700.0,906279.0
2020-12-11,987.046,1004.351,1052.545,975.789,2732710.0,276910699150.0,825011.0
2020-12-14,1001.886,978.989,1017.24,968.437,1334470.0,133651705850.0,782939.0
2020-12-15,974.626,1002.317,1009.472,968.83,1177163.0,117775733400.0,766788.0
2020-12-16,1003.837,1011.408,1024.532,992.274,1178955.0,119951483600.0,766424.0
2020-12-17,1009.889,1031.693,1032.068,1002.721,897866.0,92149439900.0,774897.0
2020-12-18,1030.555,1079.025,1081.249,1026.68,1272614.0,134585182800.0,783077.0
2020-12-21,1071.023,1147.037,1150.229,1057.707,2325281.0,261240753950.0,765464.0
2020-12-22,1128.274,1058.359,1137.898,1043.849,910881.0,99449040850.0,733950.0
2020-12-23,1062.711,1025.766,1070.824,993.291,862080.0,88115596500.0,685986.0
2020-12-24,1026.34,1038.048,1060.512,1021.492,489069.0,50937722150.0,692727.0
2020-12-25,1031.15,1062.838,1067.327,1008.372,546253.0,56366760700.0,707745.0
2020-12-28,1059.539,1026.69,1067.039,1017.502,484378.0,50199558950.0,694423.0
2020-12-29,1027.711,1014.216,1052.71,998.987,575624.0,58967792450.0,679907.0
2020-12-30,1003.986,986.55,1007.877,961.177,733704.0,71697159500.0,638060.0
2020-12-31,982.479,995.857,999.06,974.126,424473.0,41978883950.0,606889.0
2021-01-04,990.323,1018.3,1021.747,973.979,365312.0,36600805100.0,591368.0
2021-01-05,1017.313,1035.386,1040.143,1010.65,413024.0,42485914050.0,609765.0
2021-01-06,1039.107,1029.776,1045.487,1012.794,403699.0,41555820650.0,608293.0
2021-01-07,1032.973,1058.068,1061.528,1018.344,419142.0,43626557400.0,616200.0
2021-01-08,1060.224,1063.375,1073.816,1039.112,453945.0,48283288250.0,602405.0
2021-01-11,1062.372,1041.607,1067.161,1018.099,548009.0,57214616050.0,623242.0
2021-01-12,1043.896,1044.114,1054.191,1000.218,558386.0,57571966500.0,616483.0
2021-01-13,1044.514,1029.305,1048.698,1017.602,506315.0,52472268850.0,628421.0
2021-01-14,1026.47,1048.862,1053.961,1013.13,483760.0,50134612800.0,642623.0
